key,ar,en,es,ja
amilsStory.sectionAmil.textAmil.4,في عام 2018، أخذ أميل إجازة من العمل للانتقال إلى الريف الياباني. عاش في بلدة إيهيجي، مسقط رأس زن سوتو، حيث كان يتأمل يوميًا ويتعلم فلسفة زن، بينما يساهم في تعليم البرمجة المرنة للشباب والأطفال. وسرعان ما تم تعيين أميل سفير التطور للمدينة وتم إرساله إلى مؤتمر One Young World في هولندا لتمثيل اليابان بين قادة الشباب المؤثرين اجتماعيًا ورؤساء الدول وحائزين على جائزة نوبل من 195 دولة.,"In 2018, Amil took leave from work to move to the countryside of Japan. Living in Eiheiji town, the birthplace of Soto Zen, Amil meditated daily and learned Zen philosophy, while giving back teaching agile programming to young adults and children. Soon, Amil was appointed Evolution Ambassador of the town and sent to the One Young World conference in the Netherlands to represent Japan, amongst other young social impact leaders, country heads, and Nobel Laureates from 195 countries.","En 2018, Amil tomó una pausa laboral para mudarse al campo de Japón. Viviendo en el pueblo de Eiheiji, lugar de origen del Zen Soto, Amil meditaba diariamente y aprendía filosofía Zen, mientras retribuía enseñando programación ágil a jóvenes y niños. Pronto, fue nombrado Embajador de la Evolución del pueblo y enviado a la conferencia One Young World en los Países Bajos para representar a Japón, junto a otros jóvenes líderes de impacto social, jefes de Estado y laureados con el Premio Nobel de 195 países.",2018年、アミルは日本の田舎に移住するために仕事を休みました。曹洞宗の発祥地である永平寺町に住み、毎日瞑想を行い禅哲学を学びながら、若者や子供たちにアジャイルプログラミングを教えて社会貢献しました。やがてアミルは町のエボリューションアンバサダーに任命され、オランダで開催されたOne Young Worldカンファレンスに、日本を代表して他の若い社会的影響力を持つリーダーや195カ国の国の代表、ノーベル賞受賞者たちとともに参加しました。
amilsStory.sectionAmil.textAmil.5,في أواخر عام 2019، ترك أميل وظيفته لمتابعة الدراسات العليا في الذكاء الاصطناعي بجامعة ستانفورد، حيث أخذ أولى دوراته مع مؤسس Coursera الدكتور أندرو نغ ومبتكرة ImageNet الدكتورة فاي فاي لي. عندما ضربت الجائحة، كرس أميل نفسه لجهود الإغاثة من الجائحة وسرعان ما أسس Virufy.,"In late 2019, Amil left his job to pursue graduate studies in Artificial Intelligence at Stanford University, taking his first courses with Coursera founder Dr. Andrew Ng and ImageNet creator Dr. Fei-Fei Li. When the pandemic hit, Amil committed himself to pandemic relief efforts and soon founded Virufy.","A finales de 2019, Amil dejó su trabajo para cursar estudios de posgrado en Inteligencia Artificial en la Universidad de Stanford, donde tomó sus primeros cursos con el fundador de Coursera, el Dr. Andrew Ng, y la creadora de ImageNet, la Dra. Fei-Fei Li. Cuando comenzó la pandemia, Amil se dedicó a los esfuerzos de ayuda y pronto fundó Virufy.",2019年末、アミルはスタンフォード大学で人工知能の大学院研究を追求するために仕事を辞め、Courseraの創設者アンドリュー・ン博士やImageNetの創設者であるフェイフェイ・リー博士の下で最初の授業を受けました。パンデミックが発生すると、アミルはパンデミック救済活動に専念し、間もなくVirufyを設立しました。
amilsStory.sectionAmil.textAmil.6,Virufy هي منظمة غير ربحية تطور تطبيقًا للهواتف الذكية لفحص COVID-19 على الفور من خلال تحليل مدعوم بالذكاء الاصطناعي لتسجيلات الصوت والسعال. اعتبارًا من يوليو 2024، تعمل المنظمة في ثلاث قارات مع أكثر من 250 متطوعًا و60 منظمة شريكة.,"Virufy is a nonprofit organization developing a smartphone app to prescreen for COVID-19 instantly through AI-powered analysis of voice and cough recordings. As of July 2024, the organization operates in a three continents with more than 250 volunteers and 60 partner organizations.","Virufy es una organización sin fines de lucro que desarrolla una aplicación móvil para preevaluar instantáneamente el COVID-19 mediante el análisis con inteligencia artificial de grabaciones de voz y tos. En julio de 2024, la organización opera en tres continentes con más de 250 voluntarios y 60 organizaciones asociadas.",Virufyは、声や咳の録音をAIで分析し、COVID-19を即座にスクリーニングするスマートフォンアプリを開発している非営利団体です。2024年7月現在、この団体は3つの大陸で運営されており、250人以上のボランティアと60のパートナー組織が関与しています。
amilsStory.sectionAmil.titlePublications,منشورات أميل,Amil’s Publications,Publicaciones de Amil,アミルの出版物
amilsStory.sectionAmil.listPublications.0,2022. استخدام التعلم العميق مع مجموعات البيانات المجمعة الكبيرة لتصنيف COVID-19 من السعال. arXiv: 2201.01669,2022. Using Deep Learning with Large Aggregated Datasets for COVID-19 Classification from Cough. arXiv: 2201.01669,2022. Uso de aprendizaje profundo con grandes conjuntos de datos agregados para la clasificación de COVID-19 a partir de la tos. arXiv: 2201.01669,2022年. COVID-19の分類における大規模集約データセットを使用したディープラーニングの利用. arXiv: 2201.01669
amilsStory.sectionAmil.listPublications.1,2021. استخدام حاسبة COVID-19 جديدة لقياس التأثير الاجتماعي والاقتصادي الإيجابي لحل فحص COVID-19 (AI/ML) في الولايات المتحدة. arXiv: 2201.11109,2021. Using a Novel COVID-19 Calculator to Measure Positive U.S. Socio-Economic Impact of a COVID-19 Pre-Screening Solution (AI/ML). arXiv: 2201.11109,2021. Uso de una calculadora novedosa de COVID-19 para medir el impacto socioeconómico positivo en EE. UU. de una solución de preevaluación de COVID-19 (IA/AA). arXiv: 2201.11109,2021年. 新しいCOVID-19計算機を使用した、COVID-19事前スクリーニングソリューション（AI/ML）の米国の社会経済的影響の測定. arXiv: 2201.11109
amilsStory.sectionAmil.listPublications.2,2020. Virufy: القابلية العالمية للكشف عن COVID-19 من تسجيلات السعال باستخدام الذكاء الاصطناعي. arXiv: 2011.13320,2020. Virufy: Global Applicability of AI Detection for COVID-19 from Cough Recordings. arXiv: 2011.13320,2020. Virufy: Aplicabilidad global de la detección de COVID-19 mediante IA a partir de grabaciones de tos. arXiv: 2011.13320,2020年. Virufy: 咳の録音からCOVID-19を検出するAIのグローバルな適用性. arXiv: 2011.13320
amilsStory.sectionAmil.listPublications.3,2020. Fusical: الدمج متعدد الوسائط للمشاعر في الفيديو. ACM ICMI; DOI: 3382507.3417966,2020. Fusical: Multimodal Fusion for Video Sentiment. ACM ICMI; DOI: 3382507.3417966,2020. Fusical: Fusión multimodal para análisis de sentimientos en video. ACM ICMI; DOI: 3382507.3417966,2020年. Fusical: マルチモーダル融合によるビデオ感情分析. ACM ICMI; DOI: 3382507.3417966
amilsStory.sectionAmil.listPublications.4,2020. التعرف على تعبيرات الوجه باستخدام التعلم العميق. arXiv: 2004.11823,2020. Facial Expression Recognition with Deep Learning. arXiv: 2004.11823,2020. Reconocimiento de expresiones faciales con aprendizaje profundo. arXiv: 2004.11823,2020年. ディープラーニングによる表情認識. arXiv: 2004.11823
cookiemodal.text,"نصل إلى معلومات غير حساسة من جهازك ونخزنها، مثل ملفات تعريف الارتباط أو مُعرّف الجهاز الفريد، ونعالج البيانات الشخصية، مثل نحن نصل إلى المعلومات غير الحساسة ونخزنها من جهازك، مثل ملفات تعريف الارتباط أو معرف الجهاز الفريد، ونعالج البيانات الشخصية مثل عناوين IP لأغراض التحليل. يمكنك إلغاء الاشتراك في معالجة البيانات التي ليست ضرورية للوظيفة الأساسية لهذا الموقع من خلال النقر على ""رفض وإغلاق"" في هذه النافذة.","We access and store non-sensitive information from your device, like cookies or a unique device identifier, and process personal data like IP addresses for analytics purposes. You may opt out of data processing that isn’t essential to the core functionality of this site by clicking on “Decline and close” on this window.","Accedemos y almacenamos información no confidencial desde su dispositivo, como cookies o un identificador único de dispositivo, y procesamos datos personales como direcciones IP con fines analíticos. Puede optar por no participar en el procesamiento de datos que no sea esencial para la funcionalidad principal de este sitio haciendo clic en ""Rechazar y cerrar"" en esta ventana.",当社は、Cookie や固有のデバイス識別子などの非機密情報にアクセスしてデバイスから保存し、分析目的で IP アドレスなどの個人データを処理します。このウィンドウの「拒否して閉じる」をクリックすると、このサイトの中核機能に必須ではないデータ処理をオプトアウトできます。
cookiemodal.yes,قبول وإغلاق,Accept and close,Aceptar y cerrar,受け入れて閉じる
cookiemodal.no,رفض وإغلاق,Decline and close,Rechazar y cerrar,拒否して閉じる
faq.headerSection.altText,,,,
faq.headerSection.title.0.type,text,text,text,text
faq.headerSection.title.0.text,"كيف يمكننا ","How can we ","¿Cómo podemos ",どのように
faq.headerSection.title.1.type,span,span,span,span
faq.headerSection.title.1.text,"مساعدتك ","help ","ayudar ",お手伝い
faq.headerSection.title.2.type,text,text,text,text
faq.headerSection.title.2.text,؟,you?,a ti?,できますか？
faq.headerSection.input.placeholder,ابدأ الكتابة للبحث...,Start typing your search...,Comienza a escribir tu búsqueda...,検索ワードを入力...
faq.headerSection.input.img,./../images/faq/icon-search.png,./../images/faq/icon-search.png,./../images/faq/icon-search.png,./../images/faq/icon-search.png
faq.headerSection.input.altText,أيقونة البحث,search icon,ícono de búsqueda,検索アイコン
faq.headerSection.texts.0.type,text,text,text,text
faq.headerSection.texts.0.text,"أو ","Or ","O ",または
faq.headerSection.texts.1.type,span,span,span,span
faq.headerSection.texts.1.text,"اختر ","choose ","elige ",以下のオプションを選択
faq.headerSection.texts.2.type,text,text,text,text
faq.headerSection.texts.2.text,خياراً أدناه لمساعدتك في العثور على ما تبحث عنه.,an option below to help find what you are looking for.,una opción a continuación para ayudar a encontrar lo que buscas.,して、お探しの情報を見つけることができます。
faq.topicsSection.title,مواضيع الأسئلة الشائعة,FAQ Topics,Temas de Preguntas Frecuentes,FAQトピック
faq.topicsSection.cards.0.title,تطبيق Virufy,Virufy App,Aplicación Virufy,Virufyアプリ
faq.topicsSection.cards.0.img,./../images/faq/icon-phone-in-hand.png,./../images/faq/icon-phone-in-hand.png,./../images/faq/icon-phone-in-hand.png,./../images/faq/icon-phone-in-hand.png
faq.topicsSection.cards.0.altText,,,,
faq.topicsSection.cards.1.title,حول Virufy,About Virufy,Acerca de Virufy,Virufyについて
faq.topicsSection.cards.1.img,./../images/faq/icon-globe.png,./../images/faq/icon-globe.png,./../images/faq/icon-globe.png,./../images/faq/icon-globe.png
faq.topicsSection.cards.1.altText,,,,
faq.topicsSection.cards.2.title,حول الذكاء الاصطناعي,About AI,Acerca de la IA,AIについて
faq.topicsSection.cards.2.img,./../images/faq/icon-recycle.png,./../images/faq/icon-recycle.png,./../images/faq/icon-recycle.png,./../images/faq/icon-recycle.png
faq.topicsSection.cards.2.altText,,,,
faq.topicsSection.cards.3.title,الشؤون المالية,Finances,Finanzas,財務
faq.topicsSection.cards.3.img,./../images/faq/icon-monitor.png,./../images/faq/icon-monitor.png,./../images/faq/icon-monitor.png,./../images/faq/icon-monitor.png
faq.topicsSection.cards.3.altText,,,,
faq.topicsSection.cards.4.title,الخصوصية,Privacy,Privacidad,プライバシー
faq.topicsSection.cards.4.img,./../images/faq/icon-privacy.png,./../images/faq/icon-privacy.png,./../images/faq/icon-privacy.png,./../images/faq/icon-privacy.png
faq.topicsSection.cards.4.altText,,,,
faq.topicsSection.cards.5.title,أخرى,Other,Otros,その他
faq.topicsSection.cards.5.img,./../images/faq/icon-question-mark.png,./../images/faq/icon-question-mark.png,./../images/faq/icon-question-mark.png,./../images/faq/icon-question-mark.png
faq.topicsSection.cards.5.altText,,,,
faq.questionsSection.topicTitle,الأسئلة الشائعة,Common Questions,Preguntas Comunes,よくある質問
faq.questionsSection.noResultsTitle,لم يتم العثور على نتائج,No Results Found,No Se Encontraron Resultados,結果が見つかりませんでした
faq.questionsSection.questionsByTopic.تطبيق Virufy.0.question,متى وكيف سيعطي التطبيق نتائج التنبؤ بالعدوى التنفسية العلوية؟,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.0.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.0.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.0.answer.0.content.0.text,تطبيقنا حاليًا مخصص لجمع البيانات فقط. لا يمكننا إصدار تطبيق للتنبؤ بالتهابات الجهاز التنفسي العلوي دون موافقة هيئات الصحة العامة في كل دولة وإجراء دراسات سريرية للتحقق من صحة تقنية الذكاء الاصطناعي في الظروف المحلية. قد تستغرق هذه العملية بضعة أسابيع أو أشهر، حسب سرعة الشريك الحكومي. ترحب Virufy بالشراكات مع مسؤولي الصحة والمستشفيات لتوفير هذه التقنية مجانًا للناس، وتحسين استخدام اختبارات تفاعل البوليميراز المتسلسل (PCR) باهظة الثمن عند الضرورة فقط.,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.1.question,هل تطبيقك متوفّر على iOS أو الأندرويد؟,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.1.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.1.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.1.answer.0.content.0.text,تطبيقنا مصمّم كتطبيق عبر الإنترنت لذا يمكن استخدامه من متصفّح الإنترنت على أيّ جهاز محمول، ولا يتطلّب تحميلاً أو تثبيتاً منفصلاً.,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.2.question,هل سيكون التطبيق متاحاً مجاناً وعلى مستوى العالم؟,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.2.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.2.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.2.answer.0.content.0.text,بصفتنا منظمة غير ربحية بموجب المادة 501(c)(3)، قد نضطر إلى فرض رسوم رمزية لدعم عملياتنا في حال عدم قدرتنا على جمع تمويل كافٍ. ومع ذلك، نهدف إلى جعل التطبيق مجانيًا للدول منخفضة الدخل.,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.3.question,هل تخططون لتحويل هذا التطبيق إلى مشروع ربحي؟,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.3.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.3.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.تطبيق Virufy.3.answer.0.content.0.text,Virufy هي منظمة غير ربحية. قد نتعاون مع شركات إذا لزم الأمر لتسريع نشر التطبيق لصالح الناس.,,,
faq.questionsSection.questionsByTopic.حول Virufy.0.question,كيف تم إنشاء هذه المبادرة؟,,,
faq.questionsSection.questionsByTopic.حول Virufy.0.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول Virufy.0.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول Virufy.0.answer.0.content.0.text,عندما ضربت الجائحة، كان مؤسس Virufy، أميل، يعلم أن الهواتف الذكية منتشرة وأن COVID يؤثر على الأنف والحلق والرئتين. افترض أن أصوات التنفس والسعال يمكن تحليلها باستخدام التعلم الآلي للكشف عن أنماط COVID. لرغبته في تحقيق تأثير إيجابي، نظم دراسة سريرية مع 362 مريضاً في مستشفى جامعي مرموق...,,,
faq.questionsSection.questionsByTopic.حول Virufy.1.question,كيف يختلف فيروس عن المبادرات الأخرى التي تعمل على مشاريع مماثلة؟,,,
faq.questionsSection.questionsByTopic.حول Virufy.1.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول Virufy.1.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول Virufy.1.answer.0.content.0.text,لأن Virufy هي منظمة غير ربحية معفاة من الضرائب وفقًا للمادة 501(c)(3)، فإننا قادرون على استقطاب محترفين ذوي كفاءة عالية للعمل كمتطوعين. فريقنا عالمي، يمتد عبر خمس قارات، وبالتالي فإن منظمتنا مفعمة بالتعاطف العالمي. نحن غير مهتمين بتحقيق الربح، مما يسمح لنا بالعمل في الدول النامية. شبكات خريجي الجامعات والمهنية الكثيفة لدينا تمنحنا إمكانية الوصول إلى جهات اتصال على أعلى المستويات في كل بلد في العالم. الإرشاد جزء من منظمتنا، حيث يستفيد العشرات من المهنيين الشباب في فريقنا من النصائح الحكيمة التي يقدمها خبراء كبار في الصناعة، مما يؤدي إلى نشاط سريع وإبداعي يركز في الاتجاه الصحيح.,,,
faq.questionsSection.questionsByTopic.حول Virufy.2.question,ما هي المرحلة التي وصلتم إليها في التحقيق؟ وهل هناك موعد نهائي للمشاركة؟,,,
faq.questionsSection.questionsByTopic.حول Virufy.2.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول Virufy.2.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول Virufy.2.answer.0.content.0.text,"لقد بذلنا جهدًا كبيرًا لتكوين شراكات، وبناء تطبيقنا للهواتف المحمولة، وتسجيل منظمتنا غير الربحية في ولاية كاليفورنيا، ووضع سياساتنا للامتثال لقوانين خصوصية البيانات في عشرات الدول. تطبيق جمع البيانات لدينا في مرحلة متقدمة، حيث قمنا بمعالجة معظم مخاوف خصوصية بيانات الرعاية الصحية والتقنية اللازمة لإطلاقه. لقد وضعنا بالفعل خصوصية البيانات، وأمن المعلومات، وتجربة المستخدم وواجهة المستخدم في مكانها المناسب لتطبيق جمع البيانات المحمول، بالإضافة إلى بنية خلفية قابلة للتوسع على AWS. لقد جمعنا كميات كبيرة من البيانات تجاوزت 250,000 مريض، وبمساعدة الذكاء الاصطناعي نبني الحل. لا يوجد موعد نهائي، ونرحب دائمًا بالشركاء الذين يمكنهم تقديم تمويل المنح، أو خدمات التطوع، أو جمع بيانات سريرية.",,,
faq.questionsSection.questionsByTopic.حول Virufy.3.question,ما الذي يميز Virufy عن المشاريع الأخرى؟,,,
faq.questionsSection.questionsByTopic.حول Virufy.3.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول Virufy.3.answer.0.content.0.type,text,,,
faq.questionsSection.questionsByTopic.حول Virufy.3.answer.0.content.0.text,بصفتنا منظمة شابة تضم فريقًا متنوعًا وعالميًا من خريجي أكثر من 25 جامعة، فإننا نسترشد بمستوى عالٍ من المحترفين في الصناعة. فريقنا متعدد التخصصات لديه خبرة في القانون، التعلم الآلي، الطب، أمن المعلومات، وتطوير تطبيقات الهاتف المحمول. شبكتنا التابعة لمنظمة One Young World تتيح لنا التواصل مع شركاء موثوقين في كل دولة. نرحب بالجميع، وكوننا منظمة غير ربحية معفاة من الضرائب يسمح للمتطوعين بالانضمام. بصفتنا منظمة غير ربحية يديرها متطوعون، نحن مستقلون ولدينا قدر أقل من التعقيدات الإدارية.,,,
faq.questionsSection.questionsByTopic.حول Virufy.4.question,كم من الاستثمار تم بذله لجعل مشروع Virufy ممكنًا؟,,,
faq.questionsSection.questionsByTopic.حول Virufy.4.answer.0.type,paragraph,,,
faq.questionsSection.questionsByTopic.حول Virufy.4.answer.0.content.0.type,text,,,
